Date,Value
1980-07-19,30.74450973
1980-07-20,30.77632963
1980-07-21,30.84595643
1980-07-22,30.94125041
1980-07-23,31.04951465
1980-07-24,31.13327905
1980-07-25,31.2431706
1980-07-26,31.33659274
1980-07-27,31.40607232
1980-07-28,31.49480898
1980-07-29,31.56506462
1980-07-30,31.64258938
1980-07-31,31.69917829
1980-08-01,31.72265934
1980-08-02,31.80818493
1980-08-03,31.91877766
1980-08-04,32.04306113
1980-08-05,32.10977457
1980-08-06,32.17601894
1980-08-07,32.21752574
1980-08-08,32.27887464
1980-08-09,32.3604642
1980-08-10,32.43461837
1980-08-11,32.54415988
1980-08-12,32.64928005
1980-08-13,32.7295363
1980-08-14,32.83171768
1980-08-15,32.88817699
1980-08-16,32.97155461
1980-08-17,33.08877557
1980-08-18,33.14577187
1980-08-19,33.26188708
1980-08-20,33.28302551
1980-08-21,33.39091879
1980-08-22,33.44411376
1980-08-23,33.52123681
1980-08-24,33.55034526
1980-08-25,33.60118906
1980-08-26,33.65878252
1980-08-27,33.76645028
1980-08-28,33.83160056
1980-08-29,33.84668571
1980-08-30,33.90248072
1980-08-31,33.99095702
1980-09-01,34.05045592
1980-09-02,34.05968044
1980-09-03,34.13181316
1980-09-04,34.18587754
1980-09-05,34.28394055
1980-09-06,34.37258681
1980-09-07,34.45395468
1980-09-08,34.53123436
1980-09-09,34.65332412
1980-09-10,34.72272222
1980-09-11,34.77588797
1980-09-12,34.84206193
1980-09-13,34.959779
1980-09-14,35.03136272
1980-09-15,35.03120309
1980-09-16,35.1719403
1980-09-17,35.21860584
1980-09-18,35.31466641
1980-09-19,35.44791939
1980-09-20,35.51046027
1980-09-21,35.56638302
1980-09-22,35.67020389
1980-09-23,35.70941543
1980-09-24,35.77025276
1980-09-25,35.90042113
1980-09-26,35.94563415
1980-09-27,36.00093053
1980-09-28,36.1025991
1980-09-29,36.07315513
1980-09-30,36.10489177
1980-10-01,36.15362907
1980-10-02,36.19648449
1980-10-03,36.26511278
1980-10-04,36.28107693
1980-10-05,36.3219621
1980-10-06,36.35669342
1980-10-07,36.36330027
1980-10-08,36.42625176
1980-10-09,36.52260224
1980-10-10,36.63205288
1980-10-11,36.68938831
1980-10-12,36.77543165
1980-10-13,36.85687652
1980-10-14,36.90642607
1980-10-15,37.00120559
1980-10-16,37.04404402
1980-10-17,37.1426972
1980-10-18,37.29541669
1980-10-19,37.35772149
1980-10-20,37.441332
1980-10-21,37.41784755
1980-10-22,37.49905499
1980-10-23,37.59447345
1980-10-24,37.68009464
1980-10-25,37.76309229
1980-10-26,37.81101351
1980-10-27,37.89231237
1980-10-28,37.96324539
1980-10-29,37.98732899
1980-10-30,38.03699136
1980-10-31,38.10057007
1980-11-01,38.14622233
1980-11-02,38.26356122
1980-11-03,38.32014096
1980-11-04,38.37776501
1980-11-05,38.44911179
1980-11-06,38.51070336
1980-11-07,38.59876934
1980-11-08,38.64504107
1980-11-09,38.73592779
1980-11-10,38.79038877
1980-11-11,38.87029654
1980-11-12,39.01634646
1980-11-13,39.06218936
1980-11-14,39.13630287
1980-11-15,39.23165873
1980-11-16,39.31503561
1980-11-17,39.38899615
1980-11-18,39.46163573
1980-11-19,39.55313606
1980-11-20,39.65789881
1980-11-21,39.76223699
1980-11-22,39.77486107
1980-11-23,39.83998427
1980-11-24,39.97524184
1980-11-25,40.08195785
1980-11-26,40.13862483
1980-11-27,40.15830097
1980-11-28,40.23973382
1980-11-29,40.39524301
1980-11-30,40.46895598
1980-12-01,40.53768983
1980-12-02,40.64276747
1980-12-03,40.69088149
1980-12-04,40.77019632
1980-12-05,40.84005002
1980-12-06,40.95098131
